,label,run,error,rho,time
175,PLAN(paper)-unclipped,8,7.554039959158213,0.125,7.65438175201416
176,PLAN(noscale)-clipped,8,8.761730530613233,0.125,7.616708278656006
177,PLAN(noscale)-unclipped,8,8.076583552533299,0.125,7.616708278656006
178,PLAN(oracle)-clipped,9,5.892666817266743,0.125,7.589069843292236
179,PLAN(oracle)-unclipped,9,5.6851827292716,0.125,7.589069843292236
180,PLAN(paper)-clipped,9,9.094617668457554,0.125,7.817420482635498
181,PLAN(paper)-unclipped,9,8.783259437038767,0.125,7.817420482635498
182,PLAN(noscale)-clipped,9,9.437203688960206,0.125,7.636232376098633
183,PLAN(noscale)-unclipped,9,9.07756089807491,0.125,7.636232376098633
184,PLAN(oracle)-clipped,10,5.181024865409323,0.125,7.514869451522827
185,PLAN(oracle)-unclipped,10,4.572313681174434,0.125,7.514869451522827
186,PLAN(paper)-clipped,10,8.189047114451052,0.125,7.897009611129761
187,PLAN(paper)-unclipped,10,7.5040555646113045,0.125,7.897009611129761
188,PLAN(noscale)-clipped,10,9.7728150133569,0.125,7.726318597793579
189,PLAN(noscale)-unclipped,10,9.513431659906143,0.125,7.726318597793579
190,PLAN(oracle)-clipped,11,5.928827269649669,0.125,7.563573837280273
191,PLAN(oracle)-unclipped,11,5.7065622867249175,0.125,7.563573837280273
192,PLAN(paper)-clipped,11,8.384645695900296,0.125,7.741535902023315
193,PLAN(paper)-unclipped,11,7.851415676814871,0.125,7.741535902023315
194,PLAN(noscale)-clipped,11,8.78020466190461,0.125,7.483699560165405
195,PLAN(noscale)-unclipped,11,8.003790132054533,0.125,7.483699560165405
196,PLAN(oracle)-clipped,12,5.346119222297477,0.125,7.61718487739563
197,PLAN(oracle)-unclipped,12,4.878218944467742,0.125,7.61718487739563
198,PLAN(paper)-clipped,12,10.066936708124501,0.125,7.702491521835327
199,PLAN(paper)-unclipped,12,9.930378169041667,0.125,7.702491521835327
200,PLAN(noscale)-clipped,12,8.761764521878467,0.125,7.6974616050720215
201,PLAN(noscale)-unclipped,12,8.154382526100488,0.125,7.6974616050720215
202,PLAN(oracle)-clipped,13,5.175988454941468,0.125,7.401911735534668
