,Algorithm,u,n,d,rho,mean,cov,r,run,error
42,Instance optimal,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,10,0.09200903880638311
43,Empirical mean (non-private),"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,10,0.08969212013029552
44,PLAN-E-ULTIMATE++,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,11,0.056898475932991875
45,PLAN-NOSCALE,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,11,0.06849407564582816
46,Instance optimal,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,11,0.05059323382408222
47,Empirical mean (non-private),"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,11,0.04900665162630151
48,PLAN-E-ULTIMATE++,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,12,0.0622809457936233
49,PLAN-NOSCALE,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,12,0.050136237943502006
50,Instance optimal,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,12,0.07301713264342137
51,Empirical mean (non-private),"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,12,0.06216785478268496
52,PLAN-E-ULTIMATE++,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,13,0.06560417163468044
53,PLAN-NOSCALE,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,13,0.06696317364032926
54,Instance optimal,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,13,0.07429631796002108
55,Empirical mean (non-private),"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,13,0.0634950941377953
56,PLAN-E-ULTIMATE++,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,14,0.06843107251098678
57,PLAN-NOSCALE,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,14,0.059346170300836505
58,Instance optimal,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,14,0.06876840406641244
59,Empirical mean (non-private),"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,14,0.05975161525502635
60,PLAN-E-ULTIMATE++,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,15,0.07941611266254256
61,PLAN-NOSCALE,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,15,0.09007696882525747
62,Instance optimal,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,15,0.07635576253511997
63,Empirical mean (non-private),"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,15,0.06777149278497956
64,PLAN-E-ULTIMATE++,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,16,0.06127006445864054
65,PLAN-NOSCALE,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,16,0.07473662130838278
66,Instance optimal,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,16,0.06329011421328141
67,Empirical mean (non-private),"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,16,0.05894645772515495
68,PLAN-E-ULTIMATE++,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,17,0.05684619144907608
69,PLAN-NOSCALE,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,17,0.07412450100008565
70,Instance optimal,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,17,0.05731034910020835
