,Algorithm,u,n,d,rho,mean,cov,r,run,error
40,PLAN,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,10,0.15026341333250148
41,PLAN-NOSCALE,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,10,0.1360027714903732
42,Instance optimal,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,10,0.17044635582367643
43,Empirical mean (non-private),"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,10,0.148800316638662
44,PLAN,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,11,0.30602262882399106
45,PLAN-NOSCALE,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,11,0.4616365696535558
46,Instance optimal,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,11,0.2812924281438484
47,Empirical mean (non-private),"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,11,0.26150063415208225
48,PLAN,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,12,0.25421652098017156
49,PLAN-NOSCALE,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,12,0.3790879900645199
50,Instance optimal,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,12,0.26346167312602414
51,Empirical mean (non-private),"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,12,0.2454091921669166
52,PLAN,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,13,0.20301026694378707
53,PLAN-NOSCALE,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,13,0.21512305978502105
54,Instance optimal,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,13,0.24637025372748325
55,Empirical mean (non-private),"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,13,0.2279425299707626
56,PLAN,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,14,0.14739794054376243
57,PLAN-NOSCALE,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,14,0.1553322704829266
58,Instance optimal,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,14,0.12762420698914645
59,Empirical mean (non-private),"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,14,0.12026641677319744
60,PLAN,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,15,0.3354562393163645
61,PLAN-NOSCALE,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,15,0.41266857361639975
62,Instance optimal,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,15,0.3657569104934046
63,Empirical mean (non-private),"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,15,0.3163209408623245
64,PLAN,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,16,0.16133811093721628
65,PLAN-NOSCALE,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,16,0.19955772870409214
66,Instance optimal,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,16,0.16437015852596273
67,Empirical mean (non-private),"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,16,0.1486504936740412
68,PLAN,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,17,0.14729114647436697
69,PLAN-NOSCALE,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,17,0.22424307245747033
70,Instance optimal,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,17,0.16470733278759145
