,label,run,error,rho,time
205,PLAN(paper)-unclipped,13,0.03251404431799208,0.125,6.6918439865112305
206,PLAN(noscale)-clipped,13,0.03921288481883976,0.125,6.912093877792358
207,PLAN(noscale)-unclipped,13,0.0360387227812272,0.125,6.912093877792358
208,PLAN(oracle)-clipped,14,0.025518350098732465,0.125,6.546297073364258
209,PLAN(oracle)-unclipped,14,0.02241705488970605,0.125,6.546297073364258
210,PLAN(paper)-clipped,14,0.038483375187775476,0.125,6.964230298995972
211,PLAN(paper)-unclipped,14,0.03418992125446964,0.125,6.964230298995972
212,PLAN(noscale)-clipped,14,0.04129580193930953,0.125,6.999575138092041
213,PLAN(noscale)-unclipped,14,0.038202666936961366,0.125,6.999575138092041
214,PLAN(oracle)-clipped,15,0.024658357846927104,0.125,7.341140508651733
215,PLAN(oracle)-unclipped,15,0.021941572500193934,0.125,7.341140508651733
216,PLAN(paper)-clipped,15,0.03832165870020998,0.125,6.887083053588867
217,PLAN(paper)-unclipped,15,0.034957474066736174,0.125,6.887083053588867
218,PLAN(noscale)-clipped,15,0.03952112732406694,0.125,6.9901087284088135
219,PLAN(noscale)-unclipped,15,0.0361295930807305,0.125,6.9901087284088135
220,PLAN(oracle)-clipped,16,0.02494082865294868,0.125,6.561049699783325
221,PLAN(oracle)-unclipped,16,0.022689110544402095,0.125,6.561049699783325
222,PLAN(paper)-clipped,16,0.03736963293395481,0.125,7.13568377494812
223,PLAN(paper)-unclipped,16,0.035317996157769815,0.125,7.13568377494812
224,PLAN(noscale)-clipped,16,0.037939308237044715,0.125,6.717634916305542
225,PLAN(noscale)-unclipped,16,0.03541889867543982,0.125,6.717634916305542
226,PLAN(oracle)-clipped,17,0.025051726748154705,0.125,6.783817291259766
227,PLAN(oracle)-unclipped,17,0.021081817772073068,0.125,6.783817291259766
228,PLAN(paper)-clipped,17,0.039356143298719434,0.125,6.754389524459839
229,PLAN(paper)-unclipped,17,0.035330655987567405,0.125,6.754389524459839
230,PLAN(noscale)-clipped,17,0.039989304504319506,0.125,7.403550386428833
231,PLAN(noscale)-unclipped,17,0.037039205014808174,0.125,7.403550386428833
232,PLAN(oracle)-clipped,18,0.024942524788656537,0.125,7.11515998840332
233,PLAN(oracle)-unclipped,18,0.021323210554152483,0.125,7.11515998840332
234,PLAN(paper)-clipped,18,0.038216376231861575,0.125,6.647195339202881
235,PLAN(paper)-unclipped,18,0.03416542708127622,0.125,6.647195339202881
236,PLAN(noscale)-clipped,18,0.03981300951802854,0.125,6.896028280258179
237,PLAN(noscale)-unclipped,18,0.03568220644325956,0.125,6.896028280258179
238,PLAN(oracle)-clipped,19,0.025530641684153865,0.125,7.003781080245972
239,PLAN(oracle)-unclipped,19,0.022162158169882578,0.125,7.003781080245972
240,PLAN(paper)-clipped,19,0.03884270271631254,0.125,6.578559398651123
241,PLAN(paper)-unclipped,19,0.03445829291111897,0.125,6.578559398651123
242,PLAN(noscale)-clipped,19,0.039882120631172545,0.125,7.2826526165008545
243,PLAN(noscale)-unclipped,19,0.036371002045395034,0.125,7.2826526165008545
244,instance optimal,0,0.04294399627695193,0.125,285.48272371292114
245,instance optimal unclipped,0,0.04177082945396125,0.125,285.48272371292114
246,instance optimal,1,0.04472224250518579,0.125,277.68904280662537
247,instance optimal unclipped,1,0.04420197926084132,0.125,277.68904280662537
248,PLAN(oracle)-clipped,0,0.01920748720577873,0.25,6.899386882781982
249,PLAN(oracle)-unclipped,0,0.016195086681004077,0.25,6.899386882781982
250,PLAN(paper)-clipped,0,0.028143960702502753,0.25,7.043473720550537
251,PLAN(paper)-unclipped,0,0.02516153384054858,0.25,7.043473720550537
252,PLAN(noscale)-clipped,0,0.02902271002982697,0.25,6.983213901519775
253,PLAN(noscale)-unclipped,0,0.025140248530086992,0.25,6.983213901519775
254,PLAN(oracle)-clipped,1,0.018610324078975574,0.25,7.067716360092163
255,PLAN(oracle)-unclipped,1,0.015878261979937594,0.25,7.067716360092163
256,PLAN(paper)-clipped,1,0.02807900885283955,0.25,6.870752334594727
257,PLAN(paper)-unclipped,1,0.024196732261542394,0.25,6.870752334594727
258,PLAN(noscale)-clipped,1,0.029532441492187967,0.25,6.92049503326416
259,PLAN(noscale)-unclipped,1,0.02718564553934356,0.25,6.92049503326416
260,PLAN(oracle)-clipped,2,0.021903774047551318,0.25,7.105468273162842
261,PLAN(oracle)-unclipped,2,0.0157199284601899,0.25,7.105468273162842
262,PLAN(paper)-clipped,2,0.02929028904517398,0.25,6.725450038909912
263,PLAN(paper)-unclipped,2,0.024715930845949308,0.25,6.725450038909912
264,PLAN(noscale)-clipped,2,0.03032290612935304,0.25,6.720837116241455
265,PLAN(noscale)-unclipped,2,0.02597573762870776,0.25,6.720837116241455
266,PLAN(oracle)-clipped,3,0.018810018710755508,0.25,7.042219877243042
267,PLAN(oracle)-unclipped,3,0.01537271190472832,0.25,7.042219877243042
268,PLAN(paper)-clipped,3,0.02890505560117091,0.25,6.576317310333252
269,PLAN(paper)-unclipped,3,0.025525756896891072,0.25,6.576317310333252
270,PLAN(noscale)-clipped,3,0.029793043605885063,0.25,7.012440204620361
271,PLAN(noscale)-unclipped,3,0.02652970296680671,0.25,7.012440204620361
272,PLAN(oracle)-clipped,4,0.01979891273171426,0.25,7.004328966140747
273,PLAN(oracle)-unclipped,4,0.01605499775473813,0.25,7.004328966140747
274,PLAN(paper)-clipped,4,0.028387829152539693,0.25,7.028850793838501
275,PLAN(paper)-unclipped,4,0.024653530799651227,0.25,7.028850793838501
276,PLAN(noscale)-clipped,4,0.02922638994465391,0.25,6.722241401672363
277,PLAN(noscale)-unclipped,4,0.02607514381796839,0.25,6.722241401672363
278,PLAN(oracle)-clipped,5,0.0204711094129213,0.25,6.866401433944702
279,PLAN(oracle)-unclipped,5,0.014804736072859112,0.25,6.866401433944702
280,PLAN(paper)-clipped,5,0.02789886306317074,0.25,6.928617715835571
281,PLAN(paper)-unclipped,5,0.024851609521860406,0.25,6.928617715835571
282,PLAN(noscale)-clipped,5,0.029459738975272695,0.25,7.112049579620361
283,PLAN(noscale)-unclipped,5,0.026751807421637713,0.25,7.112049579620361
284,PLAN(oracle)-clipped,6,0.019940516965172073,0.25,7.1128249168396
285,PLAN(oracle)-unclipped,6,0.0158382847814536,0.25,7.1128249168396
286,PLAN(paper)-clipped,6,0.029260421245724044,0.25,6.713972806930542
287,PLAN(paper)-unclipped,6,0.02588012093341012,0.25,6.713972806930542
288,PLAN(noscale)-clipped,6,0.029717710191953347,0.25,6.9703919887542725
289,PLAN(noscale)-unclipped,6,0.026318875548845794,0.25,6.9703919887542725
290,PLAN(oracle)-clipped,7,0.0182663549653167,0.25,6.9012696743011475
291,PLAN(oracle)-unclipped,7,0.016339855606203664,0.25,6.9012696743011475
292,PLAN(paper)-clipped,7,0.028723778601103304,0.25,6.953144788742065
293,PLAN(paper)-unclipped,7,0.02367947678665755,0.25,6.953144788742065
294,PLAN(noscale)-clipped,7,0.02958262301275714,0.25,7.079651832580566
295,PLAN(noscale)-unclipped,7,0.0262846181980306,0.25,7.079651832580566
296,PLAN(oracle)-clipped,8,0.01848528287415292,0.25,6.739360332489014
297,PLAN(oracle)-unclipped,8,0.015444126386627163,0.25,6.739360332489014
298,PLAN(paper)-clipped,8,0.028306898715013018,0.25,6.96561336517334
299,PLAN(paper)-unclipped,8,0.02386517559350109,0.25,6.96561336517334
300,PLAN(noscale)-clipped,8,0.029596764378236752,0.25,6.951715707778931
301,PLAN(noscale)-unclipped,8,0.027310234409195975,0.25,6.951715707778931
302,PLAN(oracle)-clipped,9,0.019105225327834784,0.25,7.068432807922363
303,PLAN(oracle)-unclipped,9,0.01576263944466179,0.25,7.068432807922363
304,PLAN(paper)-clipped,9,0.027472851360590227,0.25,7.061589241027832
305,PLAN(paper)-unclipped,9,0.02457859196339149,0.25,7.061589241027832
306,PLAN(noscale)-clipped,9,0.029827332357221063,0.25,6.774188041687012
307,PLAN(noscale)-unclipped,9,0.02775504470502098,0.25,6.774188041687012
308,PLAN(oracle)-clipped,10,0.020118807158629497,0.25,6.930671453475952
309,PLAN(oracle)-unclipped,10,0.015948803997832838,0.25,6.930671453475952
310,PLAN(paper)-clipped,10,0.027885409234574856,0.25,6.977409839630127
311,PLAN(paper)-unclipped,10,0.024584145107283743,0.25,6.977409839630127
312,PLAN(noscale)-clipped,10,0.028992193010261878,0.25,7.038331031799316
313,PLAN(noscale)-unclipped,10,0.026318977637156855,0.25,7.038331031799316
314,PLAN(oracle)-clipped,11,0.018500779705931114,0.25,7.065745830535889
315,PLAN(oracle)-unclipped,11,0.015730546378675592,0.25,7.065745830535889
316,PLAN(paper)-clipped,11,0.02886247592826541,0.25,6.829240560531616
317,PLAN(paper)-unclipped,11,0.025221113018202235,0.25,6.829240560531616
318,PLAN(noscale)-clipped,11,0.02882489309215336,0.25,6.907555818557739
319,PLAN(noscale)-unclipped,11,0.026646498035407456,0.25,6.907555818557739
320,PLAN(oracle)-clipped,12,0.019933435676362785,0.25,6.97199559211731
321,PLAN(oracle)-unclipped,12,0.0152518910481752,0.25,6.97199559211731
322,PLAN(paper)-clipped,12,0.029350246032328754,0.25,7.0169548988342285
323,PLAN(paper)-unclipped,12,0.02467315557669581,0.25,7.0169548988342285
324,PLAN(noscale)-clipped,12,0.028560085271206015,0.25,7.084147214889526
325,PLAN(noscale)-unclipped,12,0.026158218456721175,0.25,7.084147214889526
326,PLAN(oracle)-clipped,13,0.019413893989424107,0.25,7.005549192428589
327,PLAN(oracle)-unclipped,13,0.015577099397569266,0.25,7.005549192428589
328,PLAN(paper)-clipped,13,0.02833437421354686,0.25,6.857784748077393
329,PLAN(paper)-unclipped,13,0.024354591294307407,0.25,6.857784748077393
330,PLAN(noscale)-clipped,13,0.02901820539371954,0.25,6.922357797622681
331,PLAN(noscale)-unclipped,13,0.026792723335539857,0.25,6.922357797622681
332,PLAN(oracle)-clipped,14,0.020532727264423407,0.25,6.979670286178589
333,PLAN(oracle)-unclipped,14,0.01580234990327718,0.25,6.979670286178589
334,PLAN(paper)-clipped,14,0.028030570281176913,0.25,6.8959057331085205
335,PLAN(paper)-unclipped,14,0.02438634811378706,0.25,6.8959057331085205
336,PLAN(noscale)-clipped,14,0.029862046388773003,0.25,6.8920111656188965
337,PLAN(noscale)-unclipped,14,0.026824580985643012,0.25,6.8920111656188965
338,PLAN(oracle)-clipped,15,0.019205580281151508,0.25,6.868194341659546
339,PLAN(oracle)-unclipped,15,0.01593907011660519,0.25,6.868194341659546
340,PLAN(paper)-clipped,15,0.028280788788546937,0.25,6.949871063232422
341,PLAN(paper)-unclipped,15,0.024494696670252544,0.25,6.949871063232422
342,PLAN(noscale)-clipped,15,0.029288154551176112,0.25,6.850060224533081
343,PLAN(noscale)-unclipped,15,0.026034636621209625,0.25,6.850060224533081
344,PLAN(oracle)-clipped,16,0.018381240518970027,0.25,6.9469451904296875
345,PLAN(oracle)-unclipped,16,0.016268709976578026,0.25,6.9469451904296875
346,PLAN(paper)-clipped,16,0.028400536282906452,0.25,6.964697360992432
347,PLAN(paper)-unclipped,16,0.025386671774815305,0.25,6.964697360992432
348,PLAN(noscale)-clipped,16,0.029581115682020525,0.25,6.948356866836548
349,PLAN(noscale)-unclipped,16,0.025821067647638075,0.25,6.948356866836548
350,PLAN(oracle)-clipped,17,0.01879323834751954,0.25,6.879056215286255
351,PLAN(oracle)-unclipped,17,0.015058047053871417,0.25,6.879056215286255
352,PLAN(paper)-clipped,17,0.02786668107867175,0.25,6.856359243392944
353,PLAN(paper)-unclipped,17,0.025544813650511373,0.25,6.856359243392944
354,PLAN(noscale)-clipped,17,0.028969481660043577,0.25,6.885907173156738
355,PLAN(noscale)-unclipped,17,0.02663301203169812,0.25,6.885907173156738
356,PLAN(oracle)-clipped,18,0.019547299159696923,0.25,6.858484983444214
357,PLAN(oracle)-unclipped,18,0.016161915173748494,0.25,6.858484983444214
358,PLAN(paper)-clipped,18,0.028184576695303734,0.25,6.969777345657349
359,PLAN(paper)-unclipped,18,0.02443594171579287,0.25,6.969777345657349
360,PLAN(noscale)-clipped,18,0.030452092573964303,0.25,6.908669710159302
361,PLAN(noscale)-unclipped,18,0.026157509241473628,0.25,6.908669710159302
362,PLAN(oracle)-clipped,19,0.01908391352052071,0.25,7.064007759094238
363,PLAN(oracle)-unclipped,19,0.016010586512008713,0.25,7.064007759094238
364,PLAN(paper)-clipped,19,0.028341674200998913,0.25,6.917113542556763
365,PLAN(paper)-unclipped,19,0.024195051319309782,0.25,6.917113542556763
366,PLAN(noscale)-clipped,19,0.029517879706970514,0.25,6.895155668258667
367,PLAN(noscale)-unclipped,19,0.0271845387383191,0.25,6.895155668258667
368,instance optimal,0,0.0316945312756914,0.25,286.03231048583984
369,instance optimal unclipped,0,0.030930311603573155,0.25,286.03231048583984
370,instance optimal,1,0.031593500041157956,0.25,274.9744472503662
371,instance optimal unclipped,1,0.030848897932751133,0.25,274.9744472503662
372,PLAN(oracle)-clipped,0,0.014600657845338476,0.5,6.868647575378418
373,PLAN(oracle)-unclipped,0,0.011510001630213769,0.5,6.868647575378418
374,PLAN(paper)-clipped,0,0.021072247775998844,0.5,7.162233591079712
375,PLAN(paper)-unclipped,0,0.017782856451819134,0.5,7.162233591079712
376,PLAN(noscale)-clipped,0,0.0221883019972277,0.5,6.723285675048828
377,PLAN(noscale)-unclipped,0,0.0189713496039946,0.5,6.723285675048828
378,PLAN(oracle)-clipped,1,0.015083030080021048,0.5,7.129951000213623
379,PLAN(oracle)-unclipped,1,0.011590490662902275,0.5,7.129951000213623
380,PLAN(paper)-clipped,1,0.021379430858331203,0.5,7.123883008956909
381,PLAN(paper)-unclipped,1,0.01771208718883649,0.5,7.123883008956909
382,PLAN(noscale)-clipped,1,0.022364962644127157,0.5,6.78163480758667
383,PLAN(noscale)-unclipped,1,0.018858211355894022,0.5,6.78163480758667
384,PLAN(oracle)-clipped,2,0.015158642263277152,0.5,7.17106294631958
385,PLAN(oracle)-unclipped,2,0.010805315182382902,0.5,7.17106294631958
386,PLAN(paper)-clipped,2,0.02150246310155688,0.5,6.691535234451294
387,PLAN(paper)-unclipped,2,0.018166929981132347,0.5,6.691535234451294
388,PLAN(noscale)-clipped,2,0.020596980435766334,0.5,6.872544050216675
389,PLAN(noscale)-unclipped,2,0.01776818072322022,0.5,6.872544050216675
390,PLAN(oracle)-clipped,3,0.015479573765112366,0.5,6.809915781021118
